sid,sequence
P793,"['E39','C','E4','C','E6','S']"
P794,"['M','E121','S']"
P795,"['C','E','M','E130','S']"
P796,"['E18','E177','C','S']"
P797,"['E8','E113','C','S']"
P798,"['E24','C','C','C','C','S']"
P801,"['C','E153','S']"
P805,"['E3','C','N']"
P806,"['E17','S']"
P807,"['E153','S']"
P808,"['E46','E116','C','M','C','C','S']"
P809,"['C','E178','S']"
P810,"['E108','E91','E6','S']"
P811,"['E74','E110','E144','S']"
P812,"['E17','C','C','S']"
P813,"['E19','E207','C','C','C','C','S']"
P814,"['C','S']"
P818,"['E149','C','S']"
P821,"['E107','E169','M','C','C','S']"
P822,"['E58','E147','C','S']"
P823,"['C','C','S']"
P824,"['E151','N']"
P829,"['E','E','E','E','M','M','E164','E212','E104','C','C','E20','N']"
P830,"['E6','S']"
P831,"['E19','E116''E118','S']"
P833,"['E151','C','N']"
P834,"['E18','E110','C','C','C','S']"
P835,"['M','S']"
P839,"['E107','E57','S']"
P841,"['C','S']"
P843,"['E19','E122','C','S']"
P844,"['E122','E128','S']"
P848,"['E71','E141','C','E122''E128','E6','S']"
P849,"['C','E17','E115','S']"
P850,"['E120','E6','N']"
P851,"['C','N']"
P852,"['E116','E117','C','S']"
P854,"['M','N']"
P855,"['E19','C','S']"
P856,"['E19','E182','S']"
P858,"['M','C','S']"
P860,"['E19','M','M','E6','S']"
P861,"['E4','C','C','N']"
P863,"['C','C','S']"
P865,"['C','S']"
P867,"['E6','S']"
P868,"['E19','E113''E120','E160','C','C','S']"
P870,"['M','M','C','C','N']"
P871,"['E19','E83','E122','E125','S']"
P873,"['E23','C','S']"
P874,"['M','C','E6','E5','S']"
P875,"['C','S']"
P878,"['E8','E19','E113''E119','E6','S']"
P879,"['E119''E116','N']"
P880,"['C','E','M','C','C','S']"
P881,"['E105','E27','C','C','E6','N']"
P883,"['E17','E107','E18','E108','C','N']"
P885,"['E18','E112','S']"
P886,"['M','E186','C','S']"
P888,"['E18','E105''E111','M','M','E121','C','C','S']"
P891,"['E166','E14','C','C','C','E153','S']"
P892,"['E18','E110','E','E','S']"
P893,"['C','E125','E153','S']"
P898,"['E189','S']"
P899,"['C','S']"
P901,"['E17','E30','E105','E6','E1','S']"
P903,"['E101','E113''E115','C','S']"
P904,"['E19','E121','E1','S']"
P905,"['E51','C','C','S']"
P906,"['E20','C','S']"
P907,"['E113''E115','C','E','C','N']"
P908,"['E','C','M','C','C','C','S']"
P910,"['E191','E122''E129','E6','S']"
P911,"['E19','E59','C','S']"
P912,"['C','S']"
P913,"['E17','E55','E119','E120','C','E5','S']"
P914,"['C','C','C','C','S']"
P915,"['E18','M','S']"
P916,"['E102','E','E','M','S']"
P917,"['E19','E119','C','C','C','E126','E130','E5','S']"
P918,"['C','C','E20','N']"
P919,"['E116','E150','C','N']"
P920,"['E54','E3','C','S']"
P922,"['E19','E105','M','S']"
P924,"['E43','E105','M','M','E4','C','S']"
P925,"['C','N']"
P926,"['E111','N']"
P927,"['E20','S']"
P928,"['E46','C','C','E6','S']"
P929,"['E107','E57','E116','S']"
P931,"['E134','E130','S']"
P933,"['E18','E105','C','S']"
P934,"['C','C','C','C','C','C','N']"
P935,"['E17','N']"
P936,"['M','S']"
P937,"['E8','E116','E121','C','S']"
P938,"['E122''E128','S']"
P939,"['E111','C','E122','E5','C','C','S']"
P940,"['E116','E','E','S']"
P942,"['E17','S']"
P944',"['C','S']"
P945,"['E102','M','E105','C','E','C','C','C','S']"
P946,"['E149','E122''E130','C','S']"
P947,"['E19','E105','E159','E20','N']"
P948,"['E18','M','E72','C','E6','E5','S']"
P949,"['E153','C','N']"
P950,"['E82','E116','E121','E5','S']"
P951,"['E88','E18','M','M','M','C','E104','C','S']"
P953,"['E153','C','S']"
P955,"['C','C','S']"
P958,"['E111','S']"
P959,"['C','C','S']"
P960,"['E177','E113','E5','S']"
P961,"['E19','E186','E104','E125','C','S']"
P962,"['C','S']"
P964,"['E19','E59','E111','C','S']"
P965,"['E46','M','E6','S']"
P966,"['C','C','S']"
P967,"['E22','C','C','S']"
P968,"['C','C','E6','E20','C','S']"
P969,"['E68','E128','N']"
P970,"['E121','E5','S']"
P971,"['E19','E66','C','M','C','C','C','S']"
P972,"['E153','S']"
P973,"['C','S']"
P974,"['E202','S']"
P975,"['E106','C','E19','E183','E112','E6','S']"
P976,"['E110','N']"
P977,"['E107','E19','E30','E6','S']"
P978,"['C','C','S']"
P979,"['E17','E10','E113''E116','S']"
P980,"['E201','S']"
P983,"['C','S']"
P987,"['E18','E110''E112','C','C','E153','S']"
P989,"['E19','E59','E186','E122','E5','S']"
P990,"['E112','C','S']"
P991,"['M','M','C','C','N']"
P992,"['C','E122','E20','C','C','S']"
P994,"['E152','N']"
P995,"['E107','M','E','E','M','C','E5','S']"
P997,"['E19','S']"
P998,"['E107','E18','E7','S']"
P1000,"['E108','E33','M','E113','M','M','C','S']"
P1001,"['E125','C','S']"
P1004,"['E19','E','E','E','E','C','C','N']"
P1005,"['E','E','S']"
P1006,"['E19','C','S']"
P1007,"['E34','E4','C','N']"
P1009,"['E105','E146','E6','C','C','N']"
P1010,"['E102','C','C','M','S']"
P1011,"['C','E209','S']"
P1012,"['E165','C','C','S']"
P1013,"['E181','C','C','E20','S']"
P1014,"['C','N']"
P1015,"['E18','E113','C','C','E148','C','C','S']"
P1017,"['E120','S']"
P1018,"['M','C','S']"
P1020,"['E17','C','C','S']"
P1022,"['E46','M','C','C','C','E6','S']"
P1023,"['C','S']"
P1025,"['E9','E116','E6','S']"
P1026,"['E190','S']"
P1027,"['E105','E189','S']"
P1031,"['E76','M','E116','M','C','C','C','S']"
P1032,"['E205','S']"
P1034,"['E61','S']"
P1035,"['E17','E105''E112','S']"
P1037,"['E30','E105','C','E6','S']"
P1038,"['E37','E','C','C','S']"
P1039,"['C','S']"
P1040,"['E107','E19','C','E5','S']"
P1042,"['E19','M','E119','E6','C','S']"
P1043,"['E17','E105','E112','C','C','S']"
P1045,"['E85','N']"
P1046,"['E19','N']"
P1048,"['C','N']"
P1049,"['E212','S']"
P1050,"['E105''E112','E199','C','S']"
P1051,"['E87','C','N']"
P1054,"['E6','C','S']"
P1055,"['E18','E','E','E','E','C','S']"
P1056,"['C','S']"
P1057,"['E73','N']"
P1058,"['C','C','C','N']"
P1059,"['E107','E18','E203','C','C','E5','S']"
P1061,"['E107','E88','E18','M','E','S']"
P1062,"['E189','E206','S']"
P1064,"['E71','E141','C','S']"
P1065,"['E20','C','S']"
P1067,"['E8','E17','S']"
P1069,"['E19','C','C','S']"
P1070,"['C','C','N']"
P1071,"['E106','E96','E104','N']"
P1072,"['E137','E125','E130','S']"
P1074,"['C','N']"
P1075,"['C','S']"
P1077,"['E78','E107','E17','C','N']"
P1078,"['E26','C','C','S']"
P1080,"['E125','N']"
P1082,"['E53','S']"
P1083,"['E63','C','E6','S']"
P1084,"['E128','E125','N']"
P1085,"['E19','M','S']"
P1087,"['E20','C','N']"
P1088,"['E18','S']"
P1091,"['E113''E119','N']"
P1092,"['C','S']"
P1095,"['E8','E19','M','E6','S']"
P1097,"['E37','C','S']"
P1099,"['E117','E119','C','S']"
P1100,"['E18','C','C','C','C','N']"
P1102,"['E139','C','C','C','N']"
P1103,"['E64','E138','C','S']"
P1104,"['E205','S']"
P1105,"['E','S']"
P1107,"['E42','C','C','S']"
P1108,"['E19','C','C','C','S']"
P1109,"['E177','N']"
P1110,"['E82','E116','E118','C','E153','N']"
P1111,"['E105','E116','E120','C','M','S']"
P1112,"['E17','S']"
P1113,"['E64','E138','E124','E125','E153','S']"
P1114,"['E113''E115','E70','S']"
P1115,"['C','E40','S']"
P1116,"['E17','E120','E121','S']"
P1117,"['E17','M','M','M','E71','E6','S']"
P1118,"['E103','E105','E112','M','C','C','S']"
P1119,"['C','C','C','C','N']"
P1120,"['E64','E17','E206','E138','C','C','C','N']"
P1121,"['C','C','S']"
P1124,"['C','M','C','C','S']"
P1127,"['E18','M','C','C','E','M','C','C','S']"
P1128,"['E173','E120','C','S']"
P1129,"['E55','E107','E39','E112','E','E4','E6','S']"
P1131,"['E152''E125','E126','E6','S']"
P1132,"['C','C','C','C','S']"
P1133,"['E10','N']"
P1135,"['E17','M','S']"
P1139,"['E153','N']"
P1140,"['E169','E122','E128','N']"
P1143,"['E18','E112','E20','S']"
P1144,"['E36','C','S']"
P1145,"['E64','C','S']"
P1147,"['E116','E121','C','E2','S']"
P1149,"['E65','C','M','C','C','C','N']"
P1150,"['C','C','C','N']"
P1152,"['E56','C','E129','E130','N']"
P1154,"['E19','E116','S']"
P1155,"['C','C','C','S']"
P1156,"['E18','C','C','E5','C','S']"
P1158,"['E18','E105','M','E170','E200','C','S']"
P1159,"['C','C','N']"
P1160,"['E8','N']"
P1161,"['E102','M','E6','C','N']"
P1164,"['E19','E180','S']"
P1165,"['E120','C','C','E16','E5','S']"
P1170,"['E17','M','S']"
P1171,"['M','M','C','C','N']"
P1172,"['C','C','E18','E44','S']"
P1173,"['E176','E153','S']"
P1175,"['E121','C','C','C','S']"
P1176,"['E19','E72','C','E','C','E6','S']"
P1177,"['E50','C','S']"
P1178,"['C','C','M','M','C','C','C','C','N']"
P1179,"['E19','E111''E112','M','E5','S']"
P1180,"['E18','C','C','C','S']"
P1182,"['E37','C','N']"
P1183,"['E19','E177','E105','S']"
P1185,"['E132','C','S']"
P1186,"['E54','C','S']"
P1187,"['E49','E12','E6','S']"
P1188,"['E18','E160','S']"
P1189,"['E107','E96','M','C','S']"
P1190,"['E19','C','S']"
P1192,"['E4','C','C','N']"
P1193,"['C','S']"
P1194,"['C','E185','C','S']"
P1196,"['E126','N']"
P1197,"['E18','E65','M','C','C','C','C','S']"
P1198,"['E152','C','E6','E153','S']"
P1199,"['E31','S']"
P1200,"['E6','C','S']"
P1203,"['E116','S']"
P1204,"['E44','E112','M','M','N']"
P1205,"['E21','M','E116','C','E2','S']"
P1206,"['E64','C','S']"
P1207,"['E22','C','C','S']"
P1208,"['C','C','N']"
P1209,"['E19','E10','E197','E163','S']"
P1210,"['C','S']"
P1212,"['C','N']"
P1213,"['E18','E116''E117','E5','S']"
P1217,"['E107''E105','C','S']"
P1218,"['C','S']"
P1219,"['E49','E12','E3','S']"
P1222,"['C','N']"
P1224,"['E151','C','C','S']"
P1225,"['E209','R']"
P1227,"['E72','E122','E128','S']"
P1228,"['C','S']"
P1229,"['E116','E120','C','C','S']"
P1230,"['E107','E18','S']"
P1231,"['E37','C','M','S']"
P1234,"['E133','E20','S']"
P1235,"['E109','E19','M','S']"
P1236,"['E19','N']"
P1237,"['E103','C','M','S']"
P1238,"['E17','E83','C','E130','C','E153','S']"
P1239,"['E17','E','E','E','E','C','C','C','C','E157','N']"
P1240,"['E109','E19','E30','E116','C','E6','S']"
P1242,"['E127','C','N']"
P1243,"['E77','N']"
P1244,"['E107','E19','C','C','M','C','C','C','S']"
P1245,"['E87','C','N']"
P1247,"['E97','E105','S']"
P1248,"['E13','S']"
P1250,"['E19','E110','M','C','S']"
P1251,"['E18','E89','E108','C','C','E6','N']"
P1253,"['E18','E105','E145','M','M','C','C','N']"
P1255,"['E44','E122','E20','C','C','C','C','N']"
P1256,"['E21','C','C','C','C','N']"
P1257,"['C','C','C','S']"
P1258,"['E37','M','E113','S']"
P1260,"['E98','S']"
P1261,"['E163','N']"
P1263,"['E148','C','N']"
P1265,"['E153','C','N']"
P1266,"['E116','E201','C','S']"
P1267,"['E64','E19','E153','S']"
P1269,"['E43','C','S']"
P1270,"['E105','M','M','E122','C','C','E153','N']"
P1273,"['E19','E186','E110','E128','E6','N']"
P1275,"['C','C','C','S']"
P1276,"['E18','E129','S']"
P1278,"['E133','S']"
P1279,"['C','S']"
P1280,"['E20','C','S']"
P1282,"['C','C','S']"
P1284,"['E110','M','M','C','C','C','C','N']"
P1285,"['E207','C','C','S']"
P1286,"['C','C','C','S']"
P1287,"['E54','C','S']"
P1290,"['C','C','C','S']"
P1293,"['E92','E92','C','C','N']"
P1294,"['C','N']"
P1295,"['E19','E111','E112','E140','C','M','E','E','C','C','E69','C','C','C','N']"
P1296,"['E19','E158','M','C','N']"
P1297,"['E18','E44','S']"
P1298,"['E19','E135','E162','E123''E125','N']"
P1299,"['M','E122''E125','E153','S']"
P1300,"['E125''E128','S']"
P1301,"['E128','S']"
P1302,"['E107','E153','S']"
P1303,"['E153','S']"
P1304,"['M','C','C','S']"
P1305,"['E3','C','S']"
P1310,"['C','S']"
P1312,"['E205','S']"
