,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
15812,"frozenset({'A143', 'A101', 'A152', 'A191'})",frozenset({'A211'}),0.313,0.7,0.237,0.7571884984025559,1.081697854860794,0.0179,1.2355263157894736
15872,"frozenset({'A143', 'A101', 'A152', 'A201'})",frozenset({'A211'}),0.504,0.7,0.382,0.7579365079365079,1.082766439909297,0.029200000000000004,1.239344262295082
16052,"frozenset({'A143', 'A101', 'A152', 'A52'})",frozenset({'A211'}),0.269,0.7,0.218,0.8104089219330854,1.1577270313329793,0.029700000000000004,1.5823529411764703
16082,"frozenset({'A143', 'A101', 'A152', 'A61'})",frozenset({'A211'}),0.305,0.7,0.214,0.7016393442622951,1.0023419203747075,0.0005000000000000004,1.0054945054945057
16112,"frozenset({'A143', 'A101', 'A93', 'A152'})",frozenset({'A211'}),0.292,0.7,0.238,0.815068493150685,1.1643835616438358,0.03360000000000002,1.622222222222223
16233,"frozenset({'A143', 'A101', 'A161', 'A171'})",frozenset({'A211'}),0.421,0.7,0.293,0.6959619952494062,0.994231421784866,-0.0016999999999999793,0.9867187500000001
16385,"frozenset({'A143', 'A101', 'A161', 'A173'})",frozenset({'A211'}),0.304,0.7,0.214,0.7039473684210527,1.005639097744361,0.0012000000000000066,1.0133333333333336
16503,"frozenset({'A143', 'A101', 'A161', 'A201'})",frozenset({'A211'}),0.457,0.7,0.315,0.6892778993435449,0.9846827133479213,-0.0049000000000000155,0.9654929577464791
16683,"frozenset({'A32', 'A101', 'A161', 'A143'})",frozenset({'A211'}),0.37,0.7,0.255,0.6891891891891893,0.9845559845559847,-0.0040000000000000036,0.9652173913043481
16804,"frozenset({'A143', 'A101', 'A171', 'A173'})",frozenset({'A211'}),0.427,0.7,0.315,0.7377049180327869,1.053864168618267,0.016100000000000003,1.1437500000000003
17012,"frozenset({'A143', 'A101', 'A171', 'A191'})",frozenset({'A211'}),0.375,0.7,0.27,0.7200000000000001,1.0285714285714287,0.007500000000000062,1.0714285714285718
17162,"frozenset({'A143', 'A101', 'A171', 'A201'})",frozenset({'A211'}),0.625,0.7,0.449,0.7184,1.0262857142857145,0.01150000000000001,1.0653409090909094
17433,"frozenset({'A143', 'A101', 'A22', 'A171'})",frozenset({'A211'}),0.266,0.7,0.202,0.7593984962406015,1.0848549946294308,0.01580000000000001,1.2468750000000002
17462,"frozenset({'A32', 'A101', 'A171', 'A143'})",frozenset({'A211'}),0.359,0.7,0.245,0.6824512534818942,0.9749303621169917,-0.006299999999999972,0.9447368421052633
17492,"frozenset({'A143', 'A101', 'A52', 'A171'})",frozenset({'A211'}),0.327,0.7,0.248,0.7584097859327217,1.0834425513324597,0.019100000000000006,1.2417721518987341
17522,"frozenset({'A143', 'A101', 'A171', 'A61'})",frozenset({'A211'}),0.378,0.7,0.247,0.6534391534391534,0.9334845049130763,-0.017600000000000005,0.8656488549618321
17552,"frozenset({'A143', 'A101', 'A171', 'A84'})",frozenset({'A211'}),0.31,0.7,0.216,0.6967741935483871,0.9953917050691244,-0.0010000000000000009,0.9893617021276597
